,lang,family,dialects,iso6393,glottocode,speakers,regions,off_lang,rec_min_lang,Wikipedia_Url
5115,Thavưng,"['Austroasiatic', 'Vietic', 'Thavưng']",Data not available,thm,aheu1239,700 (2007)[1],Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Thavung_language
5116,Thachanadan,"['Dravidian', '\nSouthern', 'Tamil–Kannada', 'Tamil–Kodagu', 'Tamil–Malayalam', 'Malayalam languages', 'Thachanadan']",Data not available,thn,thac1235,"3,000 (2004 survey)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Thachanadan_language
5117,Thompson,"['Salishan', 'Interior Salish', 'Northern', 'Thompson']",Data not available,thp,thom1243,130 (2014 FPCC)[1],"British Columbia, Washington",Data not available,Data not available,https://en.wikipedia.org/wiki/Thompson_language
5118,Thakali,"['Sino-Tibetan', 'Tamangic', 'Gurung–Tamang', 'Gurungic', 'Thakali']","['Thakali', 'Tangbe', 'Tetang', 'Chuksang']",Either:titlethstitle – Thakalititleskjtitle – Seke,thak1245title  Thakalititleseke1240title  Seke,"4,200 (2002–2021 census)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Thakali_language
5119,Tahltan,"['Dené–Yeniseian', '?\n', 'Na-Dené', 'Athabaskan', 'Northern Athabaskan', 'Central Cordillera', 'Tahltan']",Data not available,tht,tahl1239,95 (2016)[2],Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Tahltan_language
5120,Thuri,"['Nilo-Saharan', '?\n', 'Eastern Sudanic', '?', 'Kir–Abbaian', '?', 'Nilotic', 'Western', 'Luo', 'Northern', 'Luwo', '–Thuri', 'Thuri']",['Bodho?'],thu,thur1255,"(6,600 cited 1956)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Thuri_language
5121,Tamahaq,"['Afro-Asiatic', 'Berber', 'Tuareg', 'Tamahaq']",Data not available,thv,taha1241,"130,000 (2020–2022)[1]",Sahara,Data not available,Data not available,https://en.wikipedia.org/wiki/Tamahaq_language
5122,Tha,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Bambukic', 'Bikwin–Jen', 'Jen', 'Tha']",Data not available,thy,thaa1239,"(1,000 cited 1998)[1]",Taraba State,Data not available,Data not available,https://en.wikipedia.org/wiki/Tha_language
5123,Tamajeq Tayart,"['Afro-Asiatic', 'Berber', 'Tuareg', 'Southern', 'Tamajeq Tayart']","['Air (Tayiṛt)', 'Tanassfarwat (Tamagarast)']",thz,taya1257,"480,000 (2021)[1]",Sahara,Data not available,Data not available,https://en.wikipedia.org/wiki/Air_Tamajeq_language
5124,Tidikelt Tamazight,"['Afro-Asiatic', 'Berber', 'Northern', 'Zenati', 'Mzab–Wargla', 'Tidikelt Tamazight']",Data not available,tia,tidi1241,"1,000 (2011)[1]","Tidikelt, Salah Area, Tit South",Data not available,Data not available,https://en.wikipedia.org/wiki/Tidikelt_language
5125,Tiro,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Talodi–Heiban', 'Heiban', 'West', 'Tiro']",Data not available,tic,tira1254,"34,000 (2022)[1]",Nuba Hills,Data not available,Data not available,https://en.wikipedia.org/wiki/Tiro_language
5126,Tifal,"['Trans–New Guinea', 'Central & South New Guinea', '\xa0?', 'Ok', 'Mountain', 'Tifal']","['Tifal–Urap', 'Atbal']",tiftitle – inclusive codetitleIndividual code:titleurmtitle – Urap,tifa1245title  Tifaltitleurap1239title  Urapmin,"4,000 (2003)[1]","Sandaun Province, Telefomin District",Data not available,Data not available,https://en.wikipedia.org/wiki/Tifal_language
5127,Tigre,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'South Semitic', 'Ethiopic', 'North', 'Tigre']","['Mansa (Mensa), Habab, Beni-Amir, Semhar, Algeden, Senhit (Ad-Tekleis, Ad-Temariam, Bet-Juk, Marya Kayah)']",tig,tigr1270,"890,000 (2022)[2]","Anseba, Gash-Barka, Northern Red Sea, Red Sea State",Data not available, Eritrea  Sudan,https://en.wikipedia.org/wiki/Tigre_language
5128,Timugon Murut,"['Austronesian', 'Malayo-Polynesian', 'North Bornean', 'Southwest Sabahan', 'Murutic', 'Northern', 'Timugon Murut']",['Beaufort Murut (Binta’)'],tih,timu1262,Data not available,Sabah,Data not available,Data not available,https://en.wikipedia.org/wiki/Timugon_language
5129,Tiene,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', ' (', 'Zone B', ')', 'Teke', ' (B.70)', '(previously ', 'Tiene-Yanzi', ', B.80)', 'Tiene']",Data not available,tii,tien1242,"(24,000 cited 1977)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Tiene_language
5130,Tilung,"['Sino-Tibetan', 'Tibeto-Burman', 'Mahakiranti', ' (?)', 'Kiranti', 'Central or Western (?)', 'Tilung']","['Choskule', 'Dorungkecha', 'Tilung proper']",tij,tilu1238,20 (2015)[1],Sagarmatha Zone,Data not available,Data not available,https://en.wikipedia.org/wiki/Tilung_language
5131,Tikar,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Northern Bantoid', 'Tikar']","['Ndobo', 'Bedzan (Medzan)']",tik,tika1246,"110,000 (2005)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Tikar_language
5132,Tillamook,"['Salishan', 'Coast Salish', 'Tillamook']","['Tillamook', 'Siletz']",til,till1254,Data not available,Northwestern Oregon,Data not available,Data not available,https://en.wikipedia.org/wiki/Tillamook_language
5133,Timbe,"['Trans–New Guinea', 'Finisterre–Huon', 'Huon', 'Western Huon', 'Timbe']",Data not available,tim,timb1251,"(11,000 cited 1991)[1]","Huon Peninsula, Morobe Province",Data not available,Data not available,https://en.wikipedia.org/wiki/Timbe_language
5134,Tindi,"['Northeast Caucasian', 'Avar–Andic', 'Andic', 'Akhvakh–Tindi', 'Karata–Tindi', 'Botlikh–Tindi', 'Bagvalal–Tindi', 'Tindi']",Data not available,tin,tind1238,"2,200 (2010 census)[1]",Southern Dagestan,Data not available,Data not available,https://en.wikipedia.org/wiki/Tindi_language
5135,Teop,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western', 'Meso-Melanesian', 'Northwest Solomonic', 'Nehan–Bougainville', 'Saposa–Tinputz', 'Teop']",Data not available,tio,teop1238,"(5,000 cited 1991)[1]",Bougainville,Data not available,Data not available,https://en.wikipedia.org/wiki/Teop_language
5136,Trimuris,"['Foja Range', 'Kwerbic', 'Nuclear Kwerba', 'Trimuris']",Data not available,tip,trim1239,(300 cited 1999)[1],Papua,Data not available,Data not available,https://en.wikipedia.org/wiki/Trimuris_language
5137,Tyefo,"['Niger–Congo', '?\n', 'Atlantic–Congo', '?', 'Savannas', '?', 'Gur', '?', 'Tyefo']",Data not available,tiq,tief1243,"(1,000 cited 1995)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Tiefo_language
5138,Tigrinya,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'South Semitic', 'Ethiopic', 'North', 'Tigrinya']",Data not available,tir,tigr1271,9.7 million (2022)[1],Data not available, Eritrea Ethiopia,Data not available,https://en.wikipedia.org/wiki/Tigrinya_language
5139,Tinigua,"['Tiniguan', 'Tinigua']",Data not available,tit,tini1245,1 (2013)[1],"Meta Department, Colombia; Serranía de la Macarena, Colombia",Data not available,Data not available,https://en.wikipedia.org/wiki/Tinigua_language
5140,Tiv,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Tivoid', 'Central Tivoida', 'Tiv']",Data not available,tiv,tivv1240,4.6 million (2020)[1],"Benue State, Cross River State, Plateau State, Taraba State",Data not available,Data not available,https://en.wikipedia.org/wiki/Tiv_language
5141,Tiwi,['Language isolate'],"['Traditional Tiwi', 'New Tiwi']",tiw,tiwi1244,"2,103 (2021 census)[1]","Bathurst and Melville Islands, Northern Territory",Data not available,Data not available,https://en.wikipedia.org/wiki/Tiwi_language
5142,Southern Tiwa,"['Kiowa-Tanoan', ' Tanoan', 'Tiwa', 'Southern Tiwa']",Data not available,tix,sout2961,"1,600, mostly older adults (2007)[1]",New Mexico,Data not available,Data not available,https://en.wikipedia.org/wiki/Southern_Tiwa_language
5143,Teduray,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'South Mindanao', 'Teduray']",Data not available,tiy,tiru1241,"50,000 (2002)[1]",Mindanao,Data not available,Data not available,https://en.wikipedia.org/wiki/Tiruray_language
5144,Tai Ya,"['Kra–Dai', 'Tai', 'Southwestern', ' (Thai)', 'Northwestern (Shan)', 'Tai Ya']",Data not available,cuu,taiy1242,"50,000 (2000 census)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Tai_Hongjin_language
5145,Tajuasohn,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kru', 'Western Kru', 'Klao', 'Tajuasohn']",Data not available,tja,taju1238,"20,000 (2020)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Tajuasohn_language
5146,Tunjung,"['Austronesian', 'Malayo-Polynesian', 'Mahakam', 'Tunjung']",Data not available,tjg,tunj1244,"50,000 (2008)[1]",Kalimantan,Data not available,Data not available,https://en.wikipedia.org/wiki/Tunjung_language
5147,Tai Laing,"['Kra–Dai', 'Tai', 'Southwestern', ' (Thai)', 'Northwestern', 'Tai Laing']",Data not available,tjl,tail1248,"100,000 (2010)[1]","Kachin, Sagaing",Data not available,Data not available,https://en.wikipedia.org/wiki/Tai_Laing_language
5148,Timucua,['Language isolate'],"['Tawasa', '\xa0?']",tjm,timu1245,Data not available,"Florida, Southeastern Georgia, Eastern Texas",Data not available,Data not available,https://en.wikipedia.org/wiki/Timucua_language
5149,Tonjon,"['Niger–Congo', 'Mande', 'Western Mande', 'Central', 'Manding–Jogo', 'Jogo–Jeri', 'Jogo', 'Tonjon']",Data not available,tjn,tonj1246,Data not available,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Tonjon_language
5150,Tugurt,"['Afro-Asiatic', 'Berber', 'Northern', 'Zenati', 'Mzab–Wargla', 'Tugurt']",Data not available,tjo,tema1243,"8,400 (2022)[1]",Oued Righ (wilaya of Ouargla),Data not available,Data not available,https://en.wikipedia.org/wiki/Tugurt_language
5151,Jurruru,"['Pama–Nyungan', 'Ngayarta', 'Jurruru']",Data not available,tju,tjur1240,Data not available,"Pilbara, Western Australia",Data not available,Data not available,https://en.wikipedia.org/wiki/Jurruru_language
5152,Truká,['(unattested)'],Data not available,tka,truk1242,Data not available,"Pernambuco, Bahia",Data not available,Data not available,https://en.wikipedia.org/wiki/Truk%C3%A1_language
5153,Buksa,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Eastern', 'Bihari', 'Tharu', 'Rana Tharu', 'Buksa']",Data not available,tkb,buks1238,"59,000 (2011 census)[1]",Uttarakhand,Data not available,Data not available,https://en.wikipedia.org/wiki/Buksa_language
5154,Tokodede,"['Austronesian', 'Malayo-Polynesian', 'Central–Eastern', 'Timoric', 'Ramelaic', 'West', 'Tokodede']",['Keha (Keia)'],tkd,tuku1254,"40,000 (2010 census)[1]",East Timor,Data not available,East Timor,https://en.wikipedia.org/wiki/Tokodede_language
5155,Tokelauan,"['Austronesian', 'Malayo-Polynesian', 'Central–Eastern Malayo-Polynesian', '?', 'Eastern Malayo-Polynesian', 'Oceanic', 'Central–Eastern Oceanic', 'Central Pacific', 'East Central Pacific', 'Polynesian', 'Nuclear Polynesian', 'Samoic', ' or Ellicean', 'Pukapukic?', 'Samoan', '–Tokelauan?', 'Tokelauan']",Data not available,tkl,toke1240,"1,200 in Tokelau (2020)[1]2,500 in New Zealand (2013 census)[1]",Data not available, Tokelau,Data not available,https://en.wikipedia.org/wiki/Tokelauan_language
5156,Takelma,['Language isolate'],Data not available,tkm,take1257,Data not available,"Oregon, Rogue Valley along the middle course of the Rogue River",Data not available,Data not available,https://en.wikipedia.org/wiki/Takelma_language
5157,Tokunoshima,"['Japonic', 'Ryukyuan', 'Northern Ryukyuan', 'Amami', 'Ōshima–Tokunoshima', 'Tokunoshima']",Data not available,tkn,toku1246title  Toku-No-Shima,"5,100 (2004)[1]","Tokunoshima of the Amami Islands, Kagoshima Prefecture",Data not available,Data not available,https://en.wikipedia.org/wiki/Tokunoshima_language
5158,Tikopia,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Polynesian', 'Ellicean–Eastern', 'Tikopia']",Data not available,tkp,tiko1237,"(3,300 cited 1999)[1]",Tikopia,Data not available,Data not available,https://en.wikipedia.org/wiki/Tikopia_language
5159,Tẹẹ,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Cross River', 'Ogoni', 'East Ogoni', 'Tẹẹ']",Data not available,tkq,teee1242,"310,000 (2006)[1]","Tai, Rivers State",Data not available,Data not available,https://en.wikipedia.org/wiki/Tee_language
5160,Tsakhur,"['Northeast Caucasian', 'Lezgic', 'Samur', 'Western Samur', 'Tsakhur']",Data not available,tkr,tsak1249,"22,300 (2010-2011)[1]",Data not available," Russia
 Dagestan
",Data not available,https://en.wikipedia.org/wiki/Tsakhur_language
5161,Upper Necaxa Totonac,"['Totozoquean', '\xa0?\n', 'Totonacan', 'Totonac', 'Central', 'Northern', 'Upper Necaxa Totonac']",Data not available,tku,uppe1275,"3,400 (2000)[2]",Puebla,Data not available,Data not available,https://en.wikipedia.org/wiki/Upper_Necaxa_Totonac
5162,Mur Pano,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western Oceanic', 'Ngero–Vitiaz', 'Korap', 'Mur Pano']",Data not available,tkv,murp1234,"700–800 (2012)[1]1,000 total (2012).",Madang Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Mur_Pano_language
5163,Teanu,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Temotu', 'Vanikoro', 'Teanu']",Data not available,tkw,tean1237,800 (2012)[1],"Vanikoro, Eastern Solomons",Data not available,Data not available,https://en.wikipedia.org/wiki/Teanu_language
5164,Tangko,"['Trans–New Guinea', 'Central & South New Guinea', '\xa0?', 'Ok', 'Tangko–Nakai', 'Tangko']",Data not available,tkx,tang1353,100 (2000)[1],"Kawemaot village, Papua",Data not available,Data not available,https://en.wikipedia.org/wiki/Tangko_language
5165,Takua,"['Austroasiatic', 'Bahnaric', 'North Bahnaric', 'Takua']",Data not available,tkz,taku1254,"6,000 (2007)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Takua_language
5166,Misantla Totonac,"['Totonacan', 'Totonac', 'Misantla Totonac']",Data not available,tlc,yecu1235,(500 cited 1994)[1],Veracruz,Data not available,Data not available,https://en.wikipedia.org/wiki/Misantla_Totonac
5167,Talaud,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Sangiric', 'North', 'Talaud']",Data not available,tld,tala1285,"82,000 (2000 census)[1]","Talaud Islands, North Sulawesi, Talaud Islands",Data not available,Data not available,https://en.wikipedia.org/wiki/Talaud_language
5168,Telefol,"['Trans–New Guinea', 'Central & South New Guinea', '\xa0?', 'Ok', 'Mountain', 'Telefol']",Data not available,tlf,tele1256,"(5,400 cited 1994)[1]","Sandaun Province, Telefomin District",Data not available,Data not available,https://en.wikipedia.org/wiki/Telefol_language
5169,Tofanma,"['Pauwasi', 'West Pauwasi', 'Namla–Tofanma', 'Tofanma']",Data not available,tlg,tofa1246,250 (2005)[1],"Papua: Keerom Regency, Senggi District, most of Namla, Tofanma Dua, and Tofanma Satu villages",Data not available,Data not available,https://en.wikipedia.org/wiki/Tofanma_language
5170,Tlingit,"['Dené–Yeniseian', '?\n', 'Na-Dene', 'Tlingit']",Data not available,tli,tlin1245,"~50 highly proficient first language speakers in United States, 10 highly proficient second language speakers (2020)[2]120 in Canada (2016 census)[3]","Alaska, British Columbia, Yukon, Washington", Alaska[4],Data not available,https://en.wikipedia.org/wiki/Tlingit_language
5171,Talinga,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Bantu', 'Northeast Bantu', 'Great Lakes Bantu', 'West Nyanza', 'Rutara', 'North Rutara', 'Talinga']",Data not available,tlj,tali1258,"99,000 (2000–2002)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Talinga_language
5172,Tolomako,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Southern Oceanic', 'North-Central Vanuatu', 'North Vanuatu', 'Espiritu Santo', 'Tolomako']","['Tolomako proper', 'Tsuréviu']",tlm,tolo1255,900 (2001)[1],"Big Bay, Espiritu Santo Island",Data not available,Data not available,https://en.wikipedia.org/wiki/Tolomako_language
5173,Talondoʼ,"['Austronesian', 'Malayo-Polynesian', 'South Sulawesi', 'Northern', 'Toraja', 'Talondoʼ']",Data not available,tln,talo1251,"1,200 (2011)[1]",Sulawesi,Data not available,Data not available,https://en.wikipedia.org/wiki/Talondo%CA%BC_language
5174,Talodi,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Talodi–Heiban', 'Talodi languages', 'Talodi']",Data not available,tlo,talo1250,"(1,500 cited 1989)[1]",Nuba Hills,Data not available,Data not available,https://en.wikipedia.org/wiki/Talodi_language
5175,Filomeno Mata Totonac,"['Totozoquean', '\xa0?\n', 'Totonacan', 'Totonac', 'Central Totonac', 'Lowland–Sierra', 'Filomeno Mata Totonac']",Data not available,tlp,filo1235,"15,100 (2000)[1]",Veracruz,Data not available,Data not available,https://en.wikipedia.org/wiki/Filomeno_Mata_Totonac
5176,Tai Loi,"['Austroasiatic', 'Khasi–Palaungic', 'Palaungic', '(various)', 'Tai Loi']",Data not available,tlq,Data not available,"(5,000 cited 1995–2008)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Tai_Loi_language
5177,Talise,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Southeast Solomonic', 'Gela–Guadalcanal', 'Guadalcanal', 'Talise']",Data not available,tlr,tali1259,"(13,000 cited 1999)[1]",Guadalcanal,Data not available,Data not available,https://en.wikipedia.org/wiki/Talise_language
5178,Tambotalo,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Southern Oceanic', 'North-Central Vanuatu', 'North Vanuatu', 'Espiritu Santo', 'Tambotalo']",Data not available,tls,tamb1253,(50 cited 1981)[1],Espiritu Santo,Data not available,Data not available,https://en.wikipedia.org/wiki/Tambotalo_language
5179,Tulehu,"['Austronesian', 'Malayo-Polynesian', 'Central–Eastern', 'Central Maluku', '\xa0?', 'East Central Maluku', 'Seram', '\xa0?', 'Nunusaku', 'Piru Bay', 'East', 'Seram Straits', 'Ambon', 'Tulehu']",Data not available,tlu,tule1244,"(19,000 cited 1987)[1]","Ambon Island, Maluku",Data not available,Data not available,https://en.wikipedia.org/wiki/Tulehu_language
5180,Khehek,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Admiralty Islands', 'Eastern Admiralty Islands', 'Manus', 'West Manus', 'Khehek']","['Drehet (Ndrehet)', 'Levei']",tlx,kheh1237,"(1,600 cited 1991)[1]","West-central Manus Island, Manus Province",Data not available,Data not available,https://en.wikipedia.org/wiki/Khehek_language
5181,Talysh,"['Indo-European', 'Indo-Iranian', 'Iranian', 'Western', 'Northwestern', 'Tatic/', 'Caspian', '[2]', 'Talysh']",Data not available,tly,taly1247,"229,590[1]",Western and Southwestern Caspian Sea coastal strip,Data not available,Data not available,https://en.wikipedia.org/wiki/Talysh_language
5182,Tama,"['Nilo-Saharan', '?\n', 'Eastern Sudanic', 'Northern Eastern', 'Taman', 'Tama–Sungor', 'Tama']","['Tama', 'Orra', 'Girga', 'Haura', 'Erenga', 'Murase', 'Mileere', 'Madungore']",tma,tama1331,"460,000 (2022–2023)[1]","Wadi Fira, West Darfur, South Darfur",Data not available,Data not available,https://en.wikipedia.org/wiki/Tama_language
5183,Avava,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Southern Oceanic', 'North-Central Vanuatu', 'Central Vanuatu', 'Malakula', 'Malakula Interior', 'Avava']",Data not available,tmb,katb1237,700 (2001)[1],Central Malekula,Data not available,Data not available,https://en.wikipedia.org/wiki/Avava_language
5184,Tumak,"['Afro-Asiatic', 'Chadic', 'East Chadic', 'East Chadic A', 'Sibine', ' (A.1.1)', 'Tumak']","['Tumak', 'Motun', 'Mawer']",tmc,tuma1260,"(25,000 cited 1993 census)[1]",Southwest,Data not available,Data not available,https://en.wikipedia.org/wiki/Tumak_language
5185,Waibuk,"['Madang', ' – Upper Yuat\n', 'Upper Yuat', 'Piawi', 'Waibuk']","['North (Hamil)', 'Central (Mambar)', 'South (Arama)']",tmd,haru1245,"2,000 (2000)[1]",Madang Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Haruai_language
5186,Tremembé,['(unattested)'],Data not available,tme,trem1235,Data not available,Ceará,Data not available,Data not available,https://en.wikipedia.org/wiki/Trememb%C3%A9_language
5187,Maskoy,"['Mascoian', 'Maskoy']",Data not available,tmf,toba1268,"1,700 (2007)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Toba-Maskoy_language
5188,Portugis,"['Portuguese Creole', '\nMelayu-Portuguese Creole', 'Portugis']",Data not available,tmg,tern1248,Data not available,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Portugis
5189,Tutuba,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Southern Oceanic', 'North-Central Vanuatu', 'North Vanuatu', 'Espiritu Santo', 'Tutuba']",Data not available,tmi,tutu1241,500 (2001)[1],Espiritu Santo,Data not available,Data not available,https://en.wikipedia.org/wiki/Tutuba_language
5190,Samarokena,"['Foja Range', 'Kwerbic', 'Apauwar Coast', 'Samarokena']",Data not available,tmj,sama1240,(400 cited 1982)[1],Papua,Data not available,Data not available,https://en.wikipedia.org/wiki/Samarokena_language
5191,Tai Thanh,"['Kra–Dai', 'Tai', 'Southwestern', ' (Thai)', '?', 'Tai Thanh']",Data not available,tmm,tait1248,"20,000 (2002)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Tai_Thanh_language
5192,Taman,"['Austronesian', 'Malayo-Polynesian', 'South Sulawesi', 'Bugis', '–', 'Tamanic', 'Tamanic', 'Taman']",Data not available,tmn,tama1335,"30,000 (2007)[1]",Kalimantan,Data not available,Data not available,https://en.wikipedia.org/wiki/Taman_language_(Indonesia)
5193,Temoq,"['Austroasiatic', 'Aslian', 'Southern', 'Temoq']",Data not available,tmo,temo1243,unknown[1],Malaya,Data not available,Data not available,https://en.wikipedia.org/wiki/Temoq_language
5194,Tumleo,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western', 'Schouten', 'Siau', 'Tumleo']",Data not available,tmq,tuml1238,790 (2003)[1],"Tumleo Island (in East Aitape Rural LLG, Sandaun Province)",Data not available,Data not available,https://en.wikipedia.org/wiki/Tumleo_language
5195,Babylonian Aramaic,"['Afro-Asiatic', 'Semitic', 'Central', 'Northwest Semitic', 'Aramaic', 'Eastern Aramaic', 'Southeastern', 'Babylonian Aramaic']",Data not available,tmr,jewi1240,Data not available,"Babylonia, modern day southern and some of central Iraq",Data not available,Data not available,https://en.wikipedia.org/wiki/Jewish_Babylonian_Aramaic
5196,Tima,"['Niger–Congo', '?\n', 'Kordofanian', 'Katla languages', 'Tima']",Data not available,tms,tima1241,"3,305 (2000)[2]","Nuba Hills, Southern Kordofan",Data not available,Data not available,https://en.wikipedia.org/wiki/Tima_language
5197,Tasmate,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Southern Oceanic', 'North-Central Vanuatu', 'North Vanuatu', 'Espiritu Santo', 'Tasmate']",Data not available,tmt,tasm1246,(150 cited 1983)[1],Espiritu Santo,Data not available,Data not available,https://en.wikipedia.org/wiki/Tasmate_language
5198,Iau,"['Lakes Plain', 'Tariku', 'Iau']","['Foi', 'Turu', 'Iau', 'Edopi']",Either:titletmutitle – Iautitledbftitle – Edopi,iauu1242,"2,100 (2000–2012)[1]",Western New Guinea,Data not available,Data not available,https://en.wikipedia.org/wiki/Iau_language
5199,Temuan,"['Austronesian', 'Malayo-Polynesian', 'Malayo-Sumbawan', 'Malayic', 'Malay', '?', 'Temuan']","['Belandas ', ' Mantra']",tmw,temu1239,"23,000 (2008)[1]",central and southern Peninsular Malaysia,Data not available,Data not available,https://en.wikipedia.org/wiki/Temuan_language
5200,Tami,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western Oceanic', 'North New Guinea', 'Ngero–Vitiaz', 'Vitiaz', 'Tami']",Data not available,tmy,tami1290,"2,100 (2010)[1]",Morobe Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Tami_language
5201,Tamanaku,"['Cariban', '\nVenezuelan Carib', 'Mapoyo–Tamanaku', 'Tamanaku']",Data not available,tmz,tama1338,Data not available,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Tamanaku_language
5202,Tacana,"['Tacanan', '\nAraona–Tacanan', 'Cavinena–Tacana', 'Tacana Proper', 'Tacana']",Data not available,tna,taca1256,"1,200 (2012)[1]",La Paz Department (Bolivia), Bolivia,Data not available,https://en.wikipedia.org/wiki/Tacana_language
5203,Tanimuca,"['Tucanoan', '\nCentral', 'Tanimuca']",Data not available,tnc,tani1257,(300 cited 1976)[1],Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Tanimuca-Retuar%C3%A3_language
5204,Tobanga,"['Afro-Asiatic', 'Chadic', 'East Chadic', 'East Chadic A', 'Gabri', ' (A.2.2)', 'Tobanga']",Data not available,tng,toba1280,"(30,000 cited 1999)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Tobanga_language
5205,Miani,"['Trans–New Guinea', '?\n', 'Madang', 'Croisilles', 'Northwest Adelbert Range', 'Kaukombar', 'Miani']",Data not available,"Either:titleplatitle – Miani (North) includes Rarin, Simbine, Tamokot, Bedup and Kaukombartitletnhtitle – Maiani (South) includes Viab, Bobom, Waba, Aleswav, Giniwarav and many more in the interlands",mian1254title  Miani (North)titlemaia1253title  Maiani (South),"(3,000 South cited 2003, 1,500 North cited 1987)[1]",Madang Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Maiani_language
5206,Tandia,"['Austronesian', 'Malayo-Polynesian', 'Central–Eastern Malayo-Polynesian', 'Eastern Malayo-Polynesian', 'South Halmahera–West New Guinea', 'Tandia']",Data not available,tni,tand1253,Data not available,West Papua,Data not available,Data not available,https://en.wikipedia.org/wiki/Tandia_language
5207,Kwamera,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Southern Oceanic', 'South Vanuatu', 'Tanna', 'Kwamera']",Data not available,tnk,kwam1252,"3,500 (2001)[1]",Tanna Island,Data not available,Data not available,https://en.wikipedia.org/wiki/Kwamera_language
5208,Lenakel,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Southern Oceanic', 'South Vanuatu', 'Tanna', 'Lenakel']",Data not available,tnl,lena1238,"12,000 (2001)[1]",Tanna Island,Data not available,Data not available,https://en.wikipedia.org/wiki/Lenakel_language
5209,Tabla,"['Northwest Papuan', '?\n', 'Demta–Sentani', 'Sentani', 'Tabla']",Data not available,tnm,tabl1243,"(3,800 cited 1990)[1]","Jayapura Regency, Papua",Data not available,Data not available,https://en.wikipedia.org/wiki/Tabla_language
5210,North Tanna,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Southern Oceanic', 'South Vanuatu', 'Tanna', 'North Tanna']",Data not available,tnn,nort2847,"5,000 (2001)[1]",Tanna Island,Data not available,Data not available,https://en.wikipedia.org/wiki/North_Tanna_language
