,lang,family,dialects,iso3code,speakers,regions,off_lang,rec_min_lang
1007,Adyghe_language,"['Northwest Caucasian', 'Circassian', 'Adyghe']","['Abdzakh', 'Bzhedug', 'Hatuqwai', 'Mamkhegh', 'Natukhaj', 'Shapsug', 'Temirgoy', ' (Standard dialect)', 'Yegeruqwai', 'Hakuchi', 'Zhaney']",ady,"610,000 (2010–2020)[1]",," Russia
 Adygea
"," Jordan Syria Israel
Kfar Kama
Rehaniya
 Autonomous Administration of North and East Syria"
1008,Republic_of_Albania,,,,,,,
1009,Erzincan_Province,,,,,,,
1010,Inupiaq_language,"['Eskaleut', 'Eskimo', 'Inuit', 'Iñupiaq']",,ipk – inclusive codeIndividual codes:esi – North Alaskan Iñupiatunesk – Northwest Alaska Iñupiatun,"1,250 fully fluent speakers (2023)[1]",Alaska; formerly Big Diomede Island,"Alaska,[2] Northwest Territories (as Uummarmiutun dialect)",
1011,Chad,,,,,,,
1012,Catanduanes,,,,,Bicol Region,,
1013,Karakalpak_language,"['Turkic', 'Common Turkic', 'Kipchak', 'Kipchak–Nogai', 'Karakalpak']",,kaa,"871,970 (2023)[1]",Karakalpakstan," Uzbekistan
 Karakalpakstan
",
1014,Jiangxi,,,,,,,
1015,Oroch_language,"['Tungusic', 'Udegheic', 'Oroch']",,oac,43; 28 (declared to be used in everyday life) (2021 census)[1],Russian Far East,,
1016,Hubei,,,,,,,
1017,Kuwait,,,,,,,
1018,Laz_language,"['Kartvelian languages', 'Karto-Zan', 'Zan', 'Laz']",,lzz,"22,000 (2007)[1]",,,
1019,Guangxi,,,,,,,
1020,Saraiki_language,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Northwestern', 'Saraiki']",,skr,26 million (2017)[1],South Punjab and neighbouring regions,,
1021,Nagumi_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', 'Bantu', '? (', 'Zone A', ')', 'Mbam', 'Jarawan', 'Nagumi']",,ngv,,Cameroon,,
1022,Jharkhand,,,,,East India,,
1023,Selenge_Province,,,,,,,
1024,North_Frisian_language,"['Indo-European', 'Germanic', 'West Germanic', 'North Sea Germanic', 'Anglo-Frisian', 'Frisian', 'North Frisian']",,frr,"(10,000 cited 1976)[1]",North Frisia,"Germany
Schleswig-Holstein
",
1025,Tepes_language,"['Nilo-Saharan', '?\n', 'Kuliak', ""Nyang'i"", '–Soo', 'Soo']","['Tepes', 'Kadam', 'Napak']",teu,50 (2012)[1],Uganda,,
1026,Haryanvi,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Central Zone', 'Western Hindi', 'Haryanvi']",,bgc,10 million (2011)[1],Haryana,,
1027,Wolof_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'West Atlantic', 'Senegambian', 'Fula–Wolof', 'Wolof']","['Baol', 'Cayor', 'Jolof', 'Lebu', 'Jander', 'Dakar–Wolof']",Either:wol – Wolofwof – Gambian Wolof,L1: 7.1 million (2013–2021)[1]L2: 16 million (2021)[1],Senegambia,,
1028,Lithuania,,,,,,,
1029,Himba_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', ' (', 'Zone B', ')', 'Tsogo languages', ' (B.30)', 'Himba']",,sbw,100 (2007)[1],,,
1030,Hindko,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Northwestern', 'Punjabi', 'Lahnda', 'Hindko']","['Peshawari', 'Kohati', 'Awankari', ', ', 'Ghebi', ', ', 'Chacchi', 'Hazara Hindko']",Either:hnd – Southern Hindkohno – Northern Hindko,5–7 million (2017–2020)[1][2],"Hazara Division, Peshawar, Kohat, Pothohar",,
1031,Finnish_language,"['Uralic', 'Finno-Ugric', 'Finnic', 'Northern Finnic', 'Finnish']","['American', 'Ostrobothnian', 'Eastern', 'South Ostrobothnian', 'Tavastian', 'Peräpohjola', 'Southwest', 'South Karelian', 'Ingrian', 'Savonian', 'Kainuu', 'Värmland', 'Helsinki', '(', 'Meänkieli', ')', '(', 'Gällivare', ')', '(', 'Kven', ')', 'Rauma', 'Sweden', 'Siberian']",fin,"5.8 million Finland: 5.4 million Sweden: 0.40 million Norway: 8,000 (Kven)  Republic of Karelia: 8,500  US: 26,000 (2020)[1]",, Finland European Union Nordic Council,Sweden (official minority language)Russia (Karelia)[2]Norway (Kven language) (Finnmark)
1032,Naukan_Yupik_language,"['Eskaleut', 'Eskimo', 'Yupik', 'Naukan Yupik']",,ynk,"60, 13% of ethnic population (2010)[2]",Bering Strait region (or Chukchi Peninsula)," Russia
 Chukotka (in Chukchi Peninsula)
",
1033,Tobagonian_Creole,"['English Creole', '\nAtlantic', 'Eastern', 'Southern', 'Tobagonian English Creole']",,tgh,"300,000 (2011)[1]",,,
1034,Ingria,,,,,,,
1035,Fuzhou,,,,,,,
1036,Uduk_language,"['Nilo-Saharan', '?\n', 'Komuz', '?', 'Koman', 'Central Koman', 'Komo', '–Uduk', 'Uduk']",,udu,"22,000 in the Sudans (undated; presumably after 2005)[1]",,,
1037,Extremaduran_language,"['Indo-European', 'Italic', 'Latino-Faliscan', 'Latin', 'Romance', 'Italo-Western', 'Western', 'Ibero-Romance', 'West Iberian', 'Asturleonese', ' or ', 'Castilian', 'Extremaduran']",,ext,"(200,000 cited 1994)[1]",ExtremaduraCastile and León (southern Salamanca province),,
1038,Japanese_language,"['Japonic', 'Japanese']","['See ', 'Japanese dialects']",jpn,120 million (2020)[1],,Japan (de facto)Palau(on Angaur Island),
1039,2006_South_Ossetian_independence_referendum,,,,,,,
1040,West_Bengal,,,,,East India,,
1041,Philippines,,,,,,,
1042,Me%C3%A4nkieli_dialects,"['Uralic', 'Finnic', 'Finnish', 'Peräpohjola', 'Meänkieli']",,fit,"(70,000 cited 1997–2020)[1]",Torne Valley,, Sweden
1043,Ojibwe_language,"['Algic', 'Algonquian', 'Ojibwe-', 'Potawatomi', 'Ojibwe']","['(see ', 'Ojibwe dialects', ')']",oji – inclusive code – OjibwaIndividual codes:ojs – Severn Ojibwaojg – Eastern Ojibwaojc – Central Ojibwaojb – Northwestern Ojibwaojw – Western Ojibwaciw – Chippewaotw – Ottawaalq – Algonquin,"(50,000 cited 1990–2016 censuses)[1]","Canada: Quebec, Ontario, Manitoba, Saskatchewan, groups in Alberta, British Columbia; United States: Michigan, Wisconsin, Minnesota, groups in North Dakota, Montana",,
1044,Government_of_the_Autonomous_Republic_of_Abkhazia,,,,,,,
1045,Manx_language,"['Indo-European', 'Celtic', 'Insular Celtic', 'Goidelic', 'Manx']","['Northern Manx', ' ', '†', 'Southern Manx']",glv,,,Isle of Man,
1046,Direct-controlled_municipalities_of_the_People%27s_Republic_of_China,,,,,,,
1047,Romansh_language,"['Indo-European', 'Italic', 'Latino-Faliscan', 'Romance', 'Italo-Western', 'Western Romance', 'Gallo-Romance', 'Rhaeto-Romance', ' or Gallo-Rhaetian', '[3]', 'Romansh']","['Sursilvan', 'Tuatschin', 'Vallader', 'Jauer', 'Putèr', 'Surmiran', 'Sutsilvan']",roh,"Main language: 40,000 (2019)[1]Regular speakers: 60,000 (2000)[2]",Grisons (Graubünden),  Switzerland,
1048,Armenian_Alphabet,,,,,,,
1049,Irrawaddy_River,,,,,,,
1050,Xiang_Chinese,"['Sino-Tibetan', 'Sinitic', 'Chinese', 'Xiang']","['Old Xiang', 'New Xiang', 'Chen-Xu Xiang', 'Hengzhou Xiang', 'Yong-Quan Xiang']",hsn,38 million (2021)[1],"Central and southwestern Hunan, northern Guangxi, parts of Guizhou, Guangdong, Sichuan, Jiangxi and Hubei provinces",,
1051,Crimean_Tatar_language,"['Turkic', 'Common Turkic', 'Kipchak', 'Kipchak–', 'Cuman', 'Crimean Tatar']","['Northern', 'Central', 'Southern']",crh,"580,000 (2001–2019)[1]",Eastern Europe,Republic of Crimea[a][2] (Russia)Autonomous Republic of Crimea[a][3] (Ukraine),Romania[4] (Dobrujan Tatar)
1052,Republic_of_Cyprus,,,,,,,
1053,Aghul_language,"['Northeast Caucasian', 'Lezgic', 'Samur', 'Eastern Samur', 'Lezgi', '–Aghul–', 'Tabasaran', 'Aghul']",,agx,"29,300 (2010 census)[1]",Southeastern Dagestan, Russia Dagestan,
1054,Tarlac,,,,,Central Luzon,,
1055,Bijago_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Atlantic', 'Senegambian', 'Bak', 'Bidyogo']","['Kagbaaga', 'Kajoko (Orango)', 'Anhaqui (Anhaki)', 'Kamona']",bjg,"36,000 (2022)[1]",Offshore Bissagos Islands,,
1056,Mandarin_Chinese,"['Sino-Tibetan', 'Sinitic', 'Chinese', 'Mandarin']","['Northeastern', 'Beijing', 'Ji–Lu', 'Jiao–Liao', 'Lower Yangtze', 'Central Plains', 'Lan–Yin', 'Southwestern']",cmn,L1: 940 million (2021)[1]L2: 200 million (no date)[1],Northern and southwestern China,,
1057,Azad_Jammu_and_Kashmir,,,,,,,
1058,Iu_Mien_language,"['Hmong–Mien', 'Mienic', 'Mian–Jin', 'Iu Mien']",,ium,"(800,000 cited 1995–2019)[1]",, China (in Jinxiu Yao Autonomous County),
1059,Camarines_Sur,,,,,Bicol Region,,
1060,Hungary,,,,,,,
1061,Sylheti_language,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Eastern', 'Bengali–Assamese', 'Sylheti']",,syl,L1: 10 million (2003–2017)[5]L2: 1.5 million (no date)[5],Sylhet Division and Barak Valley[1],,
1062,Kabardian_language,"['Northwest Caucasian', 'Circassian', 'Kabardian']",,kbd,"590,000 (2002–2010)[1]",North Caucasus (Circassia)," Russia
 Kabardino-Balkaria
 Karachay-Cherkessia
", Israel Jordan Syria Libya
1063,Republic_of_Indonesia,,,,,,,
1064,Bihar,,,,,East India,,
1065,Regions_of_Ethiopia,,,,,,,
1066,Hazaragi_dialect,"['Indo-European', 'Indo-Iranian', 'Iranian', 'Western Iranian', 'Southwestern Iranian', 'Persian', 'Hazaragi', 'هزارگی']",,haz,4.0 million (2017)[2],Hazaristan and other Hazara-populated areas,,
1067,Azerbaijan,,,,,,,
1068,"Punjab,_Pakistan",,,,,,,
1069,Palula_language,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Eastern Dardic', 'Shinaic', 'Sawi', '–', 'Kalkoti', '–Palula?', '[2]', 'Kalkoti', '–Palula?', '[2]', 'Palula']",,phl,"10,000 (2018)[1]The population of Ashret and Biol Valleys is almost completely monolingual (2008)[1]",Chitral,,
1070,Dungan_language,"['Sino-Tibetan', 'Sinitic', 'Chinese', 'Mandarin', 'Central Plains Mandarin', 'Dungan']",,dng,"110,000 (2009 censuses)[1]","Altai Republic (Russia), Fergana Valley (Uzbekistan), 
 Chu Valley (Kazakhstan)",,
1071,Prefecture-level_city,,,,,,,
1072,Sakhalin_Oblast,,,,,,,
1073,Great_Plains,,,,,,,
1074,Equatorial_Guinea,,,,,,,
1075,Afar_language,"['Afro-Asiatic', 'Cushitic', 'Lowland East', 'Saho–Afar', 'Afar']","['Aussa ', "" Ba'adu "", ' Central Afar ', ' Northern Afar']",aar,2.6 million (2019–2020)[1],Horn of Africa, Ethiopia, Djibouti Eritrea
1076,Aramaic,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Northwest Semitic', 'Aramoid?', 'Aramaic']","['Eastern Aramaic', 'Western Aramaic', 'Armazic', ' ', '†']",Variously:arc – Imperial Aramaicsyc – Classical Syriacmyz – Classical Mandaicxrm – Armazic languagebjf – Barzani Neo-Aramaicbhn – Bohtan Neo-Aramaichrt – Hertevin Neo-Aramaicaij – Inter-Zab Neo-Aramaictmr – Jewish Babylonian Aramaicjpa – Jewish Palestinian Aramaickqd – Koy Sanjaq Neo-Aramaiclhs – Mlaḥsô languagemid – Modern Mandaicoar – Old Aramaicsam – Samaritan Aramaic languagesyn – Senaya Neo-Aramaicsyr – Suret languagehuy – Trans-Zab Neo-Aramaictru – Turoyo languagetrg – Urmia Neo-Aramaicamw – Western Neo-Aramaic,,"Fertile Crescent (Levant, Mesopotamia, and  Southeastern Anatolia), Eastern Arabia,[1] Sinai",,
1077,Hungarian_language,"['Uralic', 'Finno-Ugric', '?', 'Ugric', '?', 'Hungarian']",,Either:hun – Modern Hungarianohu – Old Hungarian,17 million (2003–2014)[1],,"
Hungary
European Union
Serbia (in Vojvodina)
Austria (in Burgenland)
Slovenia (in Prekmurje)
","
Romania (in Transylvania)
Croatia[2]
Slovakia
Czech Republic
Ukraine (in Berehove, Mukachevo, Vynohradiv and Uzhhorod districts of Transcarpathian region (Zakarpattia Oblast))[citation needed]
"
1078,Ghana,,,,,,,
1079,Moroto_District,,,,,Northern Region of Uganda,,
1080,Florida,,,,,,,
1081,Republic_of_Malawi,,,,,,,
1082,Heligoland,,,,,,,
1083,Oman,,,,,,,
1084,Gagauz_language,"['Turkic', 'Common Turkic', 'Oghuz', 'Western Oghuz', 'Gagauz']",,gag,"148,720 (total speakers), 115,000 (in Moldova) (2014)[1]",Gagauzia,Gagauzia (Moldova),Ukraine
1085,Fuzhou_dialect,"['Sino-Tibetan', 'Sinitic', 'Chinese', 'Min', 'Coastal Min', 'Eastern Min', 'Houguan', 'Fuzhounese']",['Matsu'],–,(10 million cited 1994)[1],,"Matsu Islands, Taiwan (as local language[5])[6]",one of the statutory languages for public transport announcements in the Matsu Islands[7]
1086,Canada,,,,,,,
1087,Bislama,"['English Creole', '\nPacific', 'Melanesian Pidgin', 'Bislama']",,bis,"10,000 (2011)[1]200,000 L2 speakers[citation needed]",Vanuatu,Vanuatu,
1088,Nepal,,,,,,,
1089,Chittagong_Division,,,,,,,
1090,Guerrero,,,,,,,
1091,Hong_Kong,,,,,,,
1092,Ningbo_dialect,"['Sino-Tibetan', 'Sinitic', 'Chinese', 'Wu', 'Taihu', 'Ningbo dialect']",,–,,"Ningbo & Zhoushan, Zhejiang province",,
1093,Xianyou_County,,,,,,,
1094,New_Zealand,,,,,,,
1095,Lao_language,"['Kra–Dai', 'Tai', 'Southwestern Tai', ' (Thai)', 'Lao–Phutai', 'Lao']","['Northern Lao (Louang Phrabang Lao)', 'Northeastern Lao (Phuan)', 'Central Lao', 'Southern Lao', 'Western Lao (Isan)']",Either:lao – PDR Laotts – Isan (Thailand Lao),(undated figure of 30 million)[1],, Laos," Thailand Cambodia
 Vietnam"
1096,Southern_District_(Botswana),,,,,,,
1097,Trentino,,,,,Trentino-Alto Adige/Südtirol,,
1098,Republic_of_Botswana,,,,,,,
1099,Korean_Peninsula,,,,,,,
1100,Plautdietsch_language,"['Indo-European', 'Germanic', 'West Germanic', 'North Sea Germanic', 'Low German', 'Low Prussian', '?', 'Plautdietsch']",,pdt,"450,000 (2007)[1]","Argentina, Belize, Bolivia, Brazil, Canada, Germany, Kazakhstan, Mexico, Paraguay, Peru, United States, Uruguay",," Mexico (100,000+)[2]"
1101,Bashkortostan,,,,,,,
1102,Niger_State,,,,,,,
1103,Slovak_language,"['Indo-European', 'Balto-Slavic', 'Slavic', 'West Slavic', 'Czech–Slovak', 'Slovak']","['Western Slovak', 'Central Slovak', 'Eastern Slovak']",slk,Native: 5 million (2011–2021)[2]L2: 2 million[2],, Slovakia European Union Vojvodina (Serbia)[3]," Czech Republic[4]  Poland[5] Hungary[6]
 Croatia[7][8]

 Romania[9][10][11][12][13]"
1104,Aghem,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', 'Grassfields', 'Ring', 'West', 'Aghem']",,agq,"27,000 (2000)[1]",Menchum,,
1105,Cherokee_people,,,,,,,
1106,Turkish_language,"['Turkic', 'Common Turkic', 'Oghuz', 'Western Oghuz', 'Turkish']","['Cypriot Turkish', 'Iraqi Turkmen', 'Karamanli Turkish', 'Meskhetian Turkish', '[2]', 'Rumelian Turkish', 'Syrian Turkish', '[3]']",tur,"L1: 84 million (2018)[1]L2: 6.0 million (2019)[1]
Total: 90 million[1]","Anatolia, Balkans, Cyprus, Mesopotamia, Levant, Transcaucasia",CyprusNorthern CyprusTurkey,Bosnia and Herzegovina[4] Croatia[5][6]Greece[7]Iraq[a][9][10][11]Kosovo[b][9]North Macedonia[c][9]Romania[9][14]
1107,Autonomous_regions_with_special_statute,,,,,,,
1108,South_Australia,,,,,,,
1109,Bosnia_And_Herzegovina,,,,,,,
1110,Autonomous_Communities_of_Spain,,,,,,,
1111,Quanzhou_dialect,"['Sino-Tibetan', 'Sinitic', 'Chinese', 'Min', 'Coastal Min', 'Southern Min', 'Hokkien', 'Quanzhou']",,–,over 7 million (2008)[1],"city of Quanzhou, Southern Fujian province",,
1112,Chocangaca_language,"['Sino-Tibetan', 'Tibeto-Kanauri', '\xa0?', 'Bodish', 'Tibetic', 'Dzongkha–Lhokä', 'Chocha Ngacha']",,cgk,"(20,000 cited 1993)[1]",Bhutan,,
1113,Ladakhi_language,"['Sino-Tibetan', 'Tibeto-Burman', 'Tibeto-Kanauri', ' (?)', 'Bodish', 'Tibetic', 'Ladakhi–Balti', 'Ladakhi']",,Either:lbj – Ladakhizau – Zangskari,"14,952 (2011 Census)[1]",Ladakh,,
1114,Bing%C3%B6l_Province,,,,,,,
1115,Basa-Gumna_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Kainji', 'Basa languages', 'Kontagora–Gumna', 'Basa-Gumna']",,bsl,,Chanchaga,,
1116,Jammu_and_Kashmir_(union_territory),,,,,,,
1117,Abui_language,"['Trans–New Guinea', '\xa0?\n', 'West Bomberai', '\xa0?', 'Timor–Alor–Pantar', 'Alor–Pantar', 'Alor', 'Abui']",,abz,"(16,000? cited 1981)[1]",Alor Island,,
1118,Zimbabwe,,,,,,,
1119,Bicol_Region,,,,,,,
1120,"Jinping_Miao,_Yao,_and_Dai_Autonomous_County",,,,,,,
1121,States_and_territories_of_India,,,,,,,
1122,Albanian_language,"['Indo-European', 'Albanoid', 'Albanian']","['Gheg', ' (', 'Arbanasi', ' · ', 'Istrian', '†', ' · ', 'Upper Reka', ' · ', 'Malsia e Madhe', ')', 'Tosk', ' (', 'Arbëresh', ' · ', 'Arvanitika', ' · ', 'Cham', ' · ', 'Lab', ')']",sqi – inclusive codeIndividual codes:aae – Arbëreshaat – Arvanitikaaln – Ghegals – Tosk,7.5 million (2017)[1][2],, Albania Kosovo North Macedonia (co-official) Montenegro (co-official)[3], Italy[4] Serbia[5] Croatia[6] Romania[7]
1123,Republic_of_China,,,,,,,
1124,Maasai_language,"['Nilo-Saharan', '?\n', 'Eastern Sudanic', 'Nilotic', 'Eastern Nilotic', 'Ateker', '-', 'Lotuko', '-', 'Maa', 'Lotuko', '–', 'Maa', 'Maa', 'Maasai']",,mas,1.5 million (2009 census – 2016)[1],Central and Southern Kenya and Northern Tanzania,,
1125,Polish_language,"['Indo-European', 'Balto-Slavic', 'Slavic', 'West Slavic', 'Lechitic', 'Polish']","['Chełmnian–Kocievian–Warmian', 'Greater Poland', 'Lesser Poland', 'Masovian', 'Masurian', 'New mixed dialects', 'Northern Borderlands', 'Silesian', '[a]', 'Southern Borderlands', 'Podhale', 'Warmian']",pol,"L1: 40 million (2012)[1]L2: 670,000 (2012)[1]Total: 41 million[1]",,PolandEuropean Union,Bosnia and Herzegovina[2]Brazil[3]Czech Republic[2]Hungary[4]Lithuania[5][6]Romania[7]Slovakia[2]Ukraine[2][8]
1126,Wu_Chinese,"['Sino-Tibetan', 'Sinitic', 'Chinese', 'Wu']","['5-6 major groups. Notable localities include ', 'Shanghainese', ', ', 'Suzhounese', ' and ', 'Wenzhounese']",wuu,80 million (2007)[1],"Shanghai, Zhejiang, Southeastern Jiangsu, parts of Anhui and Jiangxi provinces",,
1127,Rotokas_language,"['North Bougainville', 'Askopan', '–Rotokas', 'Rotokas']","['Central, Pipipaia, Aita, Atsilima', '[2]']",roo,"(4,300 cited 1981)[1]",Bougainville,,
1128,Republic_of_Moldova,,,,,,,
1129,Central_Bikol_language,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Central Philippine', 'Bikol languages', 'Coastal Bikol', 'Central Bikol']",,bcl,(2.5 million cited 1990 census [needs update])[1]6th most spoken native language in the Philippines[2],Bicol,,Regional language in the Philippines
1130,Czech_language,"['Indo-European', 'Balto-Slavic', 'Slavic', 'West Slavic', 'Czech–Slovak', 'Czech']","['Bohemian', 'Central Moravian', 'Eastern Moravian', 'Lach']",ces,10.7 million (2015)[1],,"
Czech Republic
European Union
","
Austria[2]
Bosnia and Herzegovina[2]
Croatia[2]
Poland[3]
Romania[2]
Slovakia[2]
"
1131,Wangdue_Phodrang_District,,,,,,,
1132,Kosovo,,,,,,,
1133,German_language,"['Indo-European', 'Germanic', 'West Germanic', 'German']",,Variously:deu – Germangmh – Middle High Germangoh – Old High Germangct – Colonia Tovar Germanbar – Bavariancim – Cimbriangeh – Hutterite Germanksh – Kölschnds – Low German[note 1]sli – Lower Silesianltz – Luxembourgish[note 2]vmf – Mainfränkischmhn – Mòchenopfl – Palatinate Germanpdc – Pennsylvania Dutchpdt – Plautdietsch[note 3]swg – Swabian Germangsw – Swiss Germanuln – Unserdeutschsxu – Upper Saxonwae – Walser Germanwep – Westphalianhrx – Riograndenser Hunsrückischyec – Yenishyid – Yiddish,L1: 95 million[1]L2: 80–85 million (2014)[2],,"
7 countries
Germany
Austria
Belgium
Liechtenstein
Luxembourg
Switzerland
Namibia



1 subdivision
 South Tyrol (Italy)


","
9 countries
Brazil (6 municipalities)[8]
Czech Republic
Denmark (Syddanmark)
Hungary (Sopron)
Poland (Upper Silesia)
Romania (select localities)
Russia (Azovo German National District)
Slovakia (Krahule)

"
1134,Trinidad_and_Tobago,,,,,,,
1135,Bosnian_language,"['Indo-European', 'Balto-Slavic', 'Slavic', 'South Slavic', 'Western', 'Serbo-Croatian', 'Shtokavian', 'New Shtokavian', 'Eastern Herzegovinian', 'Bosnian']",,bos,2.6 million (2020)[1],, Bosnia and Herzegovina (co-official) Montenegro (co-official)[3], Serbia Croatia North Macedonia Kosovo
1136,Uva_Province,,,,,,,
1137,Cara%C8%99-Severin_County,,,,,,,
1138,Mongolia,,,,,,,
1139,Republic_of_Estonia,,,,,,,
1140,Zhuang_language,"['Kra–Dai', 'Kam–Tai', 'Be–Tai\xa0?', 'Tai', 'Northern Tai', ' and ', 'Central Tai', 'Zhuang']",,zha – inclusive codeIndividual codes:zch – Central Hongshuihe Zhuangzhd – Dai Zhuang (Wenma)zeh – Eastern Hongshuihe Zhuangzgb – Guibei Zhuangzgn – Guibian Zhuangzln – Lianshan Zhuangzlj – Liujiang Zhuangzlq – Liuqian Zhuangzgm – Minz Zhuangzhn – Nong Zhuang (Yanguang)zqe – Qiubei Zhuangzyg – Yang Zhuang (Dejing)zyb – Yongbei Zhuangzyn – Yongnan Zhuangzyj – Youjiang Zhuangzzj – Zuojiang Zhuang,"16 million, all Northern Zhuang languages (2007)[1]",,,
1141,Quechuan_languages,,,que,7.2 million[1],,,
1142,Shona_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Bantu', 'Shona languages', ' (S.10)', 'Shona']","['Korekore', 'Zezuru', 'Manyika', 'Karanga']","Variously:sna – Zezuru, Karanga, Korekoretwl – Tavara (Korekore)mxc – Manyikatwx – Tewe (Manyika)","6.5 million, Shona proper (2000 to 2007)[1]5.50 million Zezuru, Karanga, Chimanyika, Korekore (2000) 5.8 million incl. Manyika, (2000–2006)[2]",Southern Africa, Zimbabwe, Mozambique
1143,Autonomous_Republic_of_Abkhazia,,,,,,,
1144,Kimki_language,"['Pauwasi', '\nYetfa – South Pauwasi', 'South Pauwasi', 'Kimki']",,sbt,500 (2004)[1],"Papua: Pegunungan Bintang Regency, Batom District, near Sepik River entrance to Papua New Guinea",,
1145,Marathi_language,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Southern Indo-Aryan', 'Marathi-Konkani', 'Marathi']","['Maharashtrian Konkani', 'Varhadi Marathi', 'Thanjavur Marathi', 'East Indian Marathi', 'Judeo-Marathi', 'Jhadi boli', 'Kasargodan Marathi']",Either:mar – Modern Marathiomr – Old Marathi,L1: 83 million (2011 census)[1]L2: 16 million (2011 census)[1],Maharashtra," India
Maharashtra
Goa[4][5] (additional)
",
1146,Tunica_language,['Language isolate'],,tun,,Central Louisiana,,
1147,Avestan_alphabet,,,,,,,
1148,East_New_Britain_Province,,,,,,,
1149,Navajo_language,"['Dené–Yeniseian', '?\n', 'Na-Dené', 'Athabaskan', 'Southern Athabaskan', 'Southwestern Apache', 'Western', 'Navajo']",,nav,"170,000 (2019 census)[1]","Arizona, New Mexico, Utah, Colorado",,
1150,Taa_language,"['Tuu', '\nTaa–Lower Nossob', 'Taa']","['West ǃXoon (Nǀuǁʼen)', 'ǃAma', 'East ǃXoon', 'Tsaasi–ǂHuan']",nmn,"2,500 (2011)[1]","Southern Ghanzi, northern Kgalagadi, western Southern and western Kweneng districts in Botswana; southern Omaheke and northeastern Hardap regions in Namibia.",,
1151,Cura%C3%A7ao,,,,,,,
1152,South_Tangerang,,,,,,,
1153,Chickasaw_language,"['Muskogean', '\nWestern Muskogean', 'Chickasaw']",,cic,75 (2017)[1],"South central Oklahoma, from Byng or Happyland (near Ada) north, and from Davis or Ardmore west to Fillmore and Wapanucka in east.",,
1154,Cameroon,,,,,,,
1155,Hausa_people,,,,,,,
1156,Manipur,,,,,Northeast India,,
1157,States_of_Austria,,,,,,,
1158,Northern_Mariana_Islands,,,,,,,
1159,Hausa_language,"['Afro-Asiatic', 'Chadic', 'West', 'Hausa–Gwandara (A.1)', 'Hausa']",,hau,L1: 54 million (2021–2023)[1]L2: 34 million (2021–2023)[1] Total: 88 million (2021)[1],West Africa, Niger (national status) Nigeria (national status), Benin
1160,Negros_Occidental,,,,,Western Visayas (Region VI),,
1161,Iloilo,,,,,Western Visayas,,
1162,Kelantanese_Malay,"['Austronesian', 'Malayo-Polynesian', 'Malayic', 'Kelantan-Pattani Malay']",,mfa  Pattani,1.5 million in Thailand (2010)[1]2 million in Malaysia[citation needed],"Malaysia:KelantanMerapoh, PahangBesut and Setiu, TerengganuBaling, Sik and Padang Terap, KedahHulu Perak (Pengkalan Hulu and Grik), PerakThailand:Patani region, Songkhla Province (Sabayoi, Chana, Nathawi, Thepha), Minburi area (Min Buri), Lat Krabang, Khlongsamwa, Nong Chok)",, Thailand
1163,Teribe_language,"['Chibchan', 'Talamanca', 'Teribe']",,tfr,"3,300 (2007)[1]","In Panama:Bocas del Toro Province, Chiriquí Province.In Costa Rica:Limón Province, Puntarenas Province.",,
1164,Ethiopia,,,,,,,
1165,Nordfriesland,,,,,,,
1166,Brunei,,,,,,,
1167,N%27Ko_alphabet,,,,,,,
